seqnames	start	end	width	strand	Conc	Conc_MB6	Conc_Ctrl	Fold	p.value	FDR	NearestGene	DistanceToNearest
chr16	20911556	20912463	908	*	6.84	7.21	6.35	0.86	5.27e-07	0.000508	ERI2; DCUN1D3; LYRM1	0
chr3	59864769	59865412	644	*	4.89	4.1	5.39	-1.3	6.07e-07	0.000579	FHIT	0
chr20	62573584	62574025	442	*	5.14	5.62	4.42	1.2	6.24e-07	0.000581	UCKL1; MIR647	0
chr3	79317518	79317983	466	*	4.53	3.61	5.1	-1.49	6.29e-07	0.000581	ROBO1	0
chr21	20250185	20250771	587	*	3.12	1.19	3.92	-2.73	6.32e-07	0.000581	PPIAP22	19591
chr1	156710489	156711457	969	*	7.11	7.43	6.7	0.73	6.4e-07	0.000582	MRPL24	0
chr8	99317136	99317520	385	*	3.87	4.49	2.76	1.74	6.5e-07	0.000584	NIPAL2	10515
chr16	58162803	58163875	1073	*	7.31	7.57	6.99	0.58	6.74e-07	0.000589	C16orf80; RP11-459F6.3	0
chr2	234883188	234883593	406	*	4.68	5.2	3.86	1.34	6.74e-07	0.000589	TRPM8	0
chr8	130560644	130561041	398	*	5.05	4.33	5.52	-1.18	6.79e-07	0.000589	CCDC26	0
chr1	221951093	221951453	361	*	5.02	4.29	5.49	-1.2	6.96e-07	0.000597	DUSP10	35575
chr5	71146670	71147007	338	*	7.26	7.64	6.74	0.9	7.11e-07	0.000601	CARTPT	129795
chr1	151253655	151255186	1532	*	8.01	8.4	7.47	0.92	7.15e-07	0.000601	RP11-126K1.2; ZNF687	0
chr19	41769557	41770558	1002	*	7.29	7.69	6.75	0.94	7.29e-07	0.000606	HNRNPUL1	0
chr1	181057423	181058796	1374	*	7.99	8.33	7.53	0.8	7.38e-07	0.000607	IER5	0
chr6	41888545	41889519	975	*	7.09	7.49	6.53	0.95	7.97e-07	0.000649	MED20; BYSL	0
chr16	24285200	24285520	321	*	3.13	3.88	1.45	2.43	8.08e-07	0.000651	CACNG3	0
chr22	32149475	32150425	951	*	6.59	6.93	6.16	0.76	8.54e-07	0.000681	DEPDC5	0
chr7	2903113	2903811	699	*	6.25	6.59	5.81	0.78	9.94e-07	0.000784	GNA12	19155
chr11	67084673	67085592	920	*	6.21	6.61	5.65	0.96	1e-06	0.000785	SSH3	4595
chr17	7760122	7761542	1421	*	6.99	7.35	6.51	0.83	1.03e-06	0.000793	LSMD1; CYB5D1	0
chr11	64684412	64685139	728	*	6.8	7.17	6.3	0.87	1.1e-06	0.000833	ATG2A; PPP2R5B	0
chr19	984102	984650	549	*	5.26	5.69	4.63	1.07	1.11e-06	0.000833	WDR18	0
chr1	154244542	154245239	698	*	6.01	6.42	5.42	1	1.11e-06	0.000833	HAX1	0
chr9	123165170	123166111	942	*	6.67	6.99	6.27	0.72	1.13e-06	0.000842	CDK5RAP2	0
chr14	77923635	77925042	1408	*	7.72	7.93	7.48	0.45	1.18e-06	0.000868	VIPAS39; AHSA1	0
chr6	36561572	36562526	955	*	7.09	7.46	6.59	0.87	1.23e-06	0.000896	SRSF3	0
chr17	7486809	7487477	669	*	5.95	6.35	5.4	0.96	1.29e-06	0.000931	AC113189.5; MPDU1	0
chr19	9902311	9903644	1334	*	6.24	6.69	5.58	1.11	1.37e-06	0.000986	ZNF846	0
chr19	42037716	42038652	937	*	5.63	6.03	5.07	0.96	1.4e-06	0.000995	AC006129.1	0
chr19	27733125	27733423	299	*	4.9	5.37	4.2	1.17	1.42e-06	0.000995	CTB-151G24.1	395967
chr19	13262300	13263121	822	*	6.86	7.32	6.2	1.11	1.43e-06	0.000995	IER2	0
chr1	16162008	16162857	850	*	6.87	7.28	6.29	0.99	1.44e-06	0.000995	RP11-169K16.9	0
chr17	56064940	56066310	1371	*	6.67	7.01	6.22	0.79	1.52e-06	0.00104	VEZF1	0
chr16	1470203	1471342	1140	*	6.85	7.16	6.45	0.71	1.56e-06	0.00106	C16orf91	0
chr3	127309291	127310283	993	*	7.39	7.65	7.06	0.6	1.6e-06	0.00108	TPRA1	0
chr16	14580809	14581053	245	*	5.65	6.07	5.07	1	1.65e-06	0.0011	PARN	0
chr19	14116463	14117985	1523	*	7.12	7.48	6.65	0.82	1.7e-06	0.00111	RFX1	0
chr19	3985047	3985728	682	*	5.9	6.31	5.33	0.97	1.7e-06	0.00111	EEF2	0
chr17	38478541	38479536	996	*	6.57	6.89	6.18	0.71	1.72e-06	0.00111	RARA	0
chr6	31619649	31621044	1396	*	6.84	7.24	6.27	0.97	1.72e-06	0.00111	BAG6; APOM	0
chr17	33700237	33700863	627	*	5.37	5.82	4.7	1.12	1.75e-06	0.00112	SLFN11	0
chr16	46392986	46393347	362	*	5.37	5.85	4.64	1.21	1.76e-06	0.00112	ANKRD26P1	109905
chr19	27731903	27732366	464	*	5.67	6.06	5.15	0.9	1.77e-06	0.00112	CTB-151G24.1	397024
chr5	175168491	175169045	555	*	5.37	5.79	4.77	1.02	1.79e-06	0.00112	RNU6-226P	37484
chr19	13263679	13264232	554	*	6.04	6.51	5.34	1.17	1.82e-06	0.00113	IER2; CTC-250I14.6	0
chr17	8090913	8091377	465	*	5.91	6.37	5.25	1.12	1.94e-06	0.0012	C17orf59	274
chr1	153643183	153643998	816	*	6.48	6.78	6.09	0.69	1.99e-06	0.00122	ILF2	0
chr19	2269134	2270184	1051	*	6.54	7.1	5.61	1.49	2.1e-06	0.00125	JSRP1; OAZ1	0
chr15	33446719	33447473	755	*	5.87	6.23	5.39	0.84	2.1e-06	0.00125	FMN1	0
chr12	15606520	15606951	432	*	4.37	3.44	4.92	-1.48	2.12e-06	0.00125	PTPRO	0
chr19	56825808	56827094	1287	*	7.5	7.7	7.25	0.45	2.12e-06	0.00125	ZSCAN5A; AC006116.17	0
chr7	99716661	99718063	1403	*	6.17	6.54	5.67	0.87	2.13e-06	0.00125	TAF6; RP11-506M12.1; CNPY4	0
chr1	15852920	15853616	697	*	7.06	7.37	6.66	0.71	2.19e-06	0.00127	CASP9; DNAJC16	0
chr19	2049926	2051696	1771	*	7.36	7.83	6.66	1.18	2.2e-06	0.00127	MKNK2	0
chr11	70244228	70244967	740	*	5.79	6.18	5.25	0.94	2.23e-06	0.00128	AP000487.5; CTTN	0
chr19	5719787	5720938	1152	*	7.36	7.78	6.76	1.02	2.25e-06	0.00128	LONP1; CATSPERD	0
chr17	27229383	27230485	1103	*	6.71	7.08	6.21	0.87	2.26e-06	0.00128	DHRS13	0
chr21	40752002	40753090	1089	*	6.71	6.99	6.37	0.63	2.28e-06	0.00128	WRB	0
chr7	140858428	140858722	295	*	3.81	4.43	2.68	1.75	2.3e-06	0.00128	TMEM178B	0
chr1	245442394	245443054	661	*	4.83	5.31	4.12	1.19	2.38e-06	0.00132	KIF26B	0
chr17	1100525	1101768	1244	*	6.89	7.19	6.52	0.67	2.4e-06	0.00132	ABR	0
chr2	97197724	97198100	377	*	4.64	5.15	3.87	1.28	2.42e-06	0.00132	RP11-363D14.1	0
chr19	44258603	44259728	1126	*	6.88	7.23	6.41	0.82	2.45e-06	0.00133	SMG9	0
chr6	148737426	148738016	591	*	5.36	4.71	5.81	-1.1	2.47e-06	0.00133	SASH1	0
chr19	41283760	41284657	898	*	6.73	7.11	6.22	0.89	2.55e-06	0.00136	MIA-RAB4B; RAB4B; RAB4B-EGLN2	0
chr17	43225488	43226419	932	*	6.96	7.45	6.2	1.25	2.56e-06	0.00136	HEXIM1	0
chr1	35657505	35659119	1615	*	7.73	8.08	7.26	0.83	2.57e-06	0.00136	SFPQ	0
chr19	49954827	49955370	544	*	5.72	6.1	5.2	0.89	2.66e-06	0.00139	PIH1D1	0
chr19	16435141	16436118	978	*	6.33	6.79	5.65	1.15	2.69e-06	0.0014	CTD-2562J15.6; KLF2	0
chr17	33390444	33391093	650	*	5.46	5.86	4.91	0.95	2.72e-06	0.00141	RFFL; RAD51L3-RFFL	0
chr1	31229298	31230165	868	*	6.72	7.01	6.36	0.65	2.75e-06	0.00141	LAPTM5	0
chr17	4851678	4852615	938	*	6.45	6.9	5.78	1.12	2.77e-06	0.00141	PFN1; ENO3	0
chr8	49701175	49701857	683	*	5.43	5.84	4.85	0.99	2.85e-06	0.00145	EFCAB1	53305
chr16	67143249	67144843	1595	*	6.71	7	6.36	0.64	2.95e-06	0.00149	C16orf70	0
chr14	88237497	88237891	395	*	6.3	6.63	5.88	0.76	2.99e-06	0.00149	RP11-1152H15.1	0
chr1	55316375	55316802	428	*	5.15	5.66	4.35	1.31	3e-06	0.00149	DHCR24	0
chr6	119558499	119558811	313	*	6.28	6.61	5.86	0.75	3.01e-06	0.00149	MAN1A1	0
chr1	81105508	81105928	421	*	3.25	1.66	3.99	-2.33	3.08e-06	0.00151	RP5-887A10.1	0
chr5	177943660	177944393	734	*	4.25	3.29	4.82	-1.53	3.11e-06	0.00151	COL23A1	0
chrX	48748374	48749428	1055	*	6.05	6.41	5.58	0.82	3.13e-06	0.00151	TIMM17B	1301
chr5	137673101	137674473	1373	*	7.63	8	7.15	0.85	3.14e-06	0.00151	CDC25C; FAM53C	0
chr22	46545837	46546895	1059	*	6.54	6.92	6.02	0.9	3.17e-06	0.00152	PPARA	0
chr5	166659501	166660255	755	*	5.41	4.84	5.81	-0.97	3.37e-06	0.0016	TENM2	51548
chr11	65264764	65265490	727	*	6.87	7.24	6.37	0.87	3.38e-06	0.0016	MALAT1; AP000769.7	0
chr8	144363536	144364235	700	*	6.36	6.66	5.97	0.69	3.41e-06	0.0016	RP13-582O9.5	0
chr11	62358808	62359767	960	*	6.75	7.08	6.33	0.74	3.43e-06	0.0016	MIR3654; TUT1	0
chr19	1249440	1250047	608	*	6.57	7.06	5.8	1.26	3.51e-06	0.00163	MIDN	0
chr7	61968753	61969628	876	*	8.5	8.83	8.07	0.76	3.56e-06	0.00164	RP11-715L17.1	146567
chr19	40476307	40477379	1073	*	7.04	7.34	6.65	0.69	3.59e-06	0.00164	PSMC4	0
chr1	150135361	150135763	403	*	4.76	5.27	3.96	1.31	3.6e-06	0.00164	PLEKHO1	0
chr16	19078628	19079708	1081	*	6.54	6.9	6.04	0.86	3.79e-06	0.00172	RP11-626G11.5; COQ7	0
chr17	27620761	27621578	818	*	6.76	7.1	6.32	0.78	4.02e-06	0.0018	NUFIP2	0
chr8	77521432	77521869	438	*	5.14	4.44	5.61	-1.17	4.05e-06	0.0018	ZFHX4-AS1	0
chr16	29605921	29606121	201	*	3.49	4.13	2.32	1.81	4.05e-06	0.0018	RP11-345J4.8	0
chr19	50179835	50180670	836	*	7.14	7.47	6.71	0.77	4.05e-06	0.0018	PRMT1	0
chr8	145022575	145023061	487	*	5.87	6.33	5.17	1.17	4.28e-06	0.00189	PLEC	0
chr19	12791969	12792893	925	*	5.78	6.23	5.11	1.12	4.46e-06	0.00195	DHPS	0
chr11	65626816	65627277	462	*	6.15	6.58	5.54	1.05	4.46e-06	0.00195	CFL1; MUS81	0
chr14	102430460	102431929	1470	*	7.52	7.78	7.2	0.58	4.53e-06	0.00197	DYNC1H1	0
chr19	925265	926151	887	*	5.94	6.29	5.48	0.82	4.61e-06	0.00199	ARID3A	0
chr22	39151771	39152480	710	*	5.77	6.18	5.19	0.99	4.89e-06	0.0021	SUN2	0
chr11	65624643	65625957	1315	*	7.32	7.78	6.64	1.15	4.91e-06	0.0021	CFL1; MUS81	0
chr3	49382535	49383065	531	*	5.1	5.58	4.39	1.18	4.96e-06	0.00211	USP4	4390
chr17	3571302	3572462	1161	*	6.99	7.37	6.46	0.91	5.07e-06	0.00214	TAX1BP3; P2RX5-TAX1BP3; EMC6	0
chr3	123062868	123063732	865	*	5.54	5.95	4.94	1.01	5.11e-06	0.00215	ADCY5	0
chr17	8054408	8054884	477	*	5.22	5.65	4.6	1.05	5.17e-06	0.00216	PER1; RP11-599B13.6	0
chr19	5622286	5623482	1197	*	7.1	7.5	6.55	0.94	5.27e-06	0.00218	SAFB2; SAFB	0
chr16	46388849	46389247	399	*	5.4	5.85	4.75	1.1	5.31e-06	0.00218	ANKRD26P1	114005
chr22	32339728	32341012	1285	*	7.11	7.53	6.5	1.03	5.31e-06	0.00218	C22orf24; YWHAH	0
chr19	15442301	15443712	1412	*	6.33	6.71	5.8	0.91	5.36e-06	0.00219	BRD4	0
chr12	23820413	23820796	384	*	3.66	2.51	4.29	-1.78	5.38e-06	0.00219	SOX5	0
chr7	30292479	30292963	485	*	4.34	4.86	3.53	1.33	5.48e-06	0.00221	ZNRF2	30959
chr12	74902660	74902977	318	*	2.73	0.81	3.52	-2.71	5.52e-06	0.00221	ATXN7L3B	28573
chr1	36689483	36690574	1092	*	7.49	7.83	7.05	0.78	5.54e-06	0.00221	THRAP3	0
chr16	31084359	31085339	981	*	6.82	7.2	6.3	0.9	5.56e-06	0.00221	ZNF668	0
chr18	60759561	60760176	616	*	5.41	4.84	5.82	-0.98	5.57e-06	0.00221	BCL2	30402
chr11	58493919	58494645	727	*	4.6	3.83	5.1	-1.27	5.8e-06	0.00228	GLYAT	0
chr3	2677199	2678053	855	*	5.54	5	5.94	-0.94	5.82e-06	0.00228	CNTN4	0
chr17	2304317	2305660	1344	*	7.71	8.17	7.03	1.14	5.85e-06	0.00229	MNT	0
chr20	25218252	25218828	577	*	6.14	6.46	5.73	0.73	5.94e-06	0.00231	PYGB	9876
chr12	6276773	6277516	744	*	5.73	6.16	5.12	1.04	5.97e-06	0.00231	RP3-454B23.1	6888
chr11	65337388	65338171	784	*	6.7	7.1	6.15	0.94	6.02e-06	0.00232	SSSCA1-AS1; SSSCA1	0
chr19	7716969	7717364	396	*	4.38	4.91	3.53	1.38	6.2e-06	0.00238	STXBP2	4210
chr18	73120648	73121365	718	*	5.44	5.83	4.9	0.93	6.24e-06	0.00238	RP11-321M21.3	0
chr6	43978394	43978950	557	*	5.62	5.98	5.14	0.83	6.75e-06	0.00256	RP5-1120P11.1	0
chr19	45681199	45682324	1126	*	7.53	7.83	7.17	0.66	6.77e-06	0.00256	MARK4; TRAPPC6A; BLOC1S3	0
chr18	18518030	18518233	204	*	4.83	5.28	4.17	1.11	6.81e-06	0.00256	ROCK1	8633
chr19	9419914	9420983	1070	*	6.55	6.86	6.17	0.69	6.83e-06	0.00256	ZNF699	0
chr17	8041895	8042694	800	*	6.05	6.43	5.54	0.89	6.87e-06	0.00256	PER1	1095
chr8	81428545	81428884	340	*	3.07	1.55	3.79	-2.24	6.99e-06	0.00259	ZBTB10	0
chr1	224872620	224873185	566	*	4.96	5.4	4.31	1.1	7.02e-06	0.00259	CNIH3	0
chr14	64348675	64348968	294	*	2.99	1.44	3.71	-2.27	7.26e-06	0.00266	SYNE2	0
chr18	46524260	46524990	731	*	5.1	5.55	4.43	1.13	7.49e-06	0.00273	RP11-15F12.1	25082
chr17	17942212	17943406	1195	*	6.99	7.29	6.62	0.67	7.51e-06	0.00273	ATPAF2; GID4	0
chr19	46389062	46390274	1213	*	6.54	6.92	6.02	0.9	7.69e-06	0.00278	IRF2BP1	0
chr16	2732192	2733102	911	*	6.13	6.51	5.63	0.88	7.75e-06	0.00279	KCTD5	0
chr16	46403582	46403855	274	*	5.75	6.14	5.22	0.92	7.85e-06	0.00279	ANKRD26P1	99397
chr4	72096271	72097193	923	*	5.35	4.78	5.76	-0.99	7.85e-06	0.00279	SLC4A4	0
chr17	37025439	37026696	1258	*	6.71	7.17	6.04	1.13	7.87e-06	0.00279	LASP1	0
chr2	183546863	183547359	497	*	4.98	4.32	5.43	-1.11	7.89e-06	0.00279	DNAJC10	33639
chr16	5083168	5084056	889	*	5.99	6.32	5.56	0.76	8.05e-06	0.00284	RP11-165E7.1; NAGPA; ALG1	0
chr9	19048848	19049889	1042	*	8.09	8.25	7.9	0.35	8.19e-06	0.00287	RRAGA	0
chr20	32699548	32700450	903	*	6.66	7	6.23	0.77	8.23e-06	0.00287	EIF2S2	0
chr1	44395233	44395567	335	*	4.63	5.12	3.87	1.25	8.32e-06	0.00289	ST3GAL3	0
chr16	46394178	46394531	354	*	5.09	5.55	4.41	1.14	8.39e-06	0.0029	ANKRD26P1	108721
chr17	27278299	27279078	780	*	7.13	7.54	6.54	1.01	8.46e-06	0.00291	PHF12; PIPOX	0
chr17	8198386	8199173	788	*	5.72	6.07	5.25	0.82	8.52e-06	0.00292	SLC25A35	0
chr16	12008855	12010335	1481	*	7.4	7.76	6.92	0.84	9.1e-06	0.00311	GSPT1; AC007216.1	0
chr3	56357819	56358405	587	*	4.75	5.26	3.94	1.32	9.19e-06	0.00312	ERC2	0
chr17	8868553	8869596	1044	*	6.32	6.64	5.89	0.75	9.22e-06	0.00312	PIK3R5; CTB-41I6.1	0
chr5	35741311	35741873	563	*	4.14	3.1	4.74	-1.63	1.01e-05	0.00338	SPEF2; CTD-2113L7.1	0
chr4	152026596	152027059	464	*	4.68	5.16	3.96	1.2	1.01e-05	0.00338	SH3D19	0
chr17	2295608	2296694	1087	*	7.07	7.53	6.4	1.13	1.02e-05	0.00339	MNT	0
chr10	134257504	134258007	504	*	5.67	6.05	5.17	0.88	1.03e-05	0.00342	C10orf91	0
chr7	51191415	51191746	332	*	4.13	4.7	3.2	1.5	1.05e-05	0.00346	COBL	0
chr10	121355744	121357042	1299	*	7.81	8.08	7.49	0.59	1.05e-05	0.00347	TIAL1	0
chr2	27578974	27580220	1247	*	6.98	7.24	6.66	0.57	1.07e-05	0.00349	GTF3C2; AC074117.10	0
chr7	23636638	23637800	1163	*	7.59	7.78	7.37	0.41	1.08e-05	0.00349	CCDC126	0
chr1	3816557	3818136	1580	*	7.5	7.78	7.15	0.63	1.08e-05	0.00349	C1orf174; RP13-15E13.1	0
chr19	47248987	47250078	1092	*	5.6	5.97	5.09	0.89	1.08e-05	0.00349	STRN4; FKRP	0
chr15	97467786	97468256	471	*	4.22	3.37	4.75	-1.38	1.09e-05	0.0035	RN7SKP181	82172
chr19	49470625	49471319	695	*	5.63	6.08	4.99	1.09	1.09e-05	0.0035	GYS1	62
chr12	53400646	53400918	273	*	4.43	4.92	3.68	1.24	1.1e-05	0.00354	EIF4B	0
chr11	64545184	64546721	1538	*	7.99	8.45	7.33	1.12	1.12e-05	0.00356	SF1; AP001462.6	0
chr17	19410980	19412124	1145	*	5.8	6.15	5.34	0.8	1.13e-05	0.00358	SLC47A1	0
chr1	194258647	194259214	568	*	5.23	4.64	5.65	-1.01	1.14e-05	0.00359	RP11-476H20.1	60858
chr1	156083788	156084768	981	*	5.41	5.88	4.72	1.15	1.16e-05	0.00363	LMNA	0
chr2	241564291	241565102	812	*	5.85	6.2	5.38	0.82	1.16e-05	0.00363	GPR35	0
chr8	143316365	143316778	414	*	4.16	4.68	3.34	1.34	1.18e-05	0.00368	TSNARE1	0
