seqnames	start	end	width	strand	Conc	Conc_MB6	Conc_Ctrl	Fold	p.value	FDR	NearestGeneName	NearestGeneEnsemblID	DistanceToNearest
chr5	57801951	57802400	450	*	2.69	1.56	3.31	-1.75	0.00089	0.0418	CTD-2117L12.3	ENSG00000271257.1	2424
chr2	156872764	156873067	304	*	2.58	1.39	3.22	-1.83	0.000899	0.0419	AC093375.1	ENSG00000226383.1	0
chr5	104365921	104366285	365	*	2.75	1.58	3.39	-1.81	0.000904	0.042	RP11-6N13.1; CTD-2374C24.1	ENSG00000251574.2; ENSG00000253584.1	0
chr4	133979895	133980538	644	*	3.12	2.16	3.69	-1.53	0.000925	0.0423	RP11-9G1.3	ENSG00000250241.1	15927
chr3	29428089	29428392	304	*	2.81	1.64	3.45	-1.82	0.000944	0.0427	RBMS3	ENSG00000144642.16	0
chr2	145306400	145306683	284	*	2.88	1.94	3.45	-1.5	0.000957	0.043	AC010090.1	ENSG00000232606.1	17318
chr2	36668990	36669360	371	*	3.11	2.15	3.68	-1.53	0.000958	0.043	CRIM1	ENSG00000150938.5	0
chr8	30324915	30325261	347	*	2.91	1.81	3.52	-1.71	0.000963	0.0431	RBPMS	ENSG00000157110.11	0
chr2	182607601	182607874	274	*	2.77	1.66	3.39	-1.74	0.00097	0.0433	RNU6ATAC19P	ENSG00000221023.1	4159
chr19	22666917	22667285	369	*	3.14	2.19	3.7	-1.52	0.000983	0.0435	ZNF98	ENSG00000197360.5	0
chr5	52456795	52457042	248	*	2.43	1.13	3.1	-1.97	0.000994	0.0438	RP11-94D20.1	ENSG00000213940.4	45348
chr4	102929118	102929455	338	*	2.72	1.58	3.35	-1.77	0.001	0.044	BANK1; RP11-498M5.2	ENSG00000153064.7; ENSG00000251309.1	0
chr8	46841585	46841776	192	*	2.71	3.35	1.51	1.84	0.00105	0.0451	AC113134.1	ENSG00000255915.1	330405
chr11	101088807	101089108	302	*	2.91	1.77	3.53	-1.76	0.00105	0.0452	RP11-788M5.3	ENSG00000255504.1	8485
chr8	111707775	111708045	271	*	3.03	1.98	3.64	-1.66	0.00111	0.0464	RP11-238I10.1	ENSG00000253122.1	63152
chr5	110170673	110171034	362	*	3.2	2.16	3.81	-1.65	0.00111	0.0466	SLC25A46	ENSG00000164209.12	69816
chr2	150095560	150095956	397	*	2.84	1.76	3.45	-1.69	0.00113	0.047	LYPD6B	ENSG00000150556.12	23784
chr10	12541613	12541965	353	*	3.06	2.01	3.66	-1.65	0.00114	0.0471	CAMK1D	ENSG00000183049.8	0
chr10	23657837	23658111	275	*	2.17	0.84	2.84	-2	0.00115	0.0475	RP11-371A19.2	ENSG00000224215.1	23727
chr12	87007163	87007625	463	*	3.19	2.11	3.8	-1.69	0.00116	0.0476	MGAT4C; RP11-202H2.1	ENSG00000182050.9; ENSG00000258185.2	0
chr20	9467911	9468131	221	*	2.67	1.68	3.26	-1.58	0.00116	0.0476	PLCB4	ENSG00000101333.12	6022
chr4	163668653	163669079	427	*	2.95	1.98	3.52	-1.54	0.0012	0.0485	AC005150.1	ENSG00000248431.1	5453
chr10	11021007	11021289	283	*	2.69	1.63	3.29	-1.66	0.00123	0.049	RP1-251M9.2	ENSG00000231496.1	8228
chr11	130565621	130565911	291	*	2.56	1.42	3.19	-1.77	0.00123	0.0492	C11orf44	ENSG00000175728.2	0
chr10	13310824	13311229	406	*	3.15	2.11	3.75	-1.64	0.00124	0.0493	PHYH	ENSG00000107537.9	8566
chr12	81157690	81157962	273	*	3.08	2.14	3.65	-1.51	0.00124	0.0493	RP11-540D4.3	ENSG00000257741.1	0
chr2	40574186	40574512	327	*	2.74	1.58	3.37	-1.79	0.00125	0.0493	SLC8A1	ENSG00000183023.14	0
chrX	57004610	57004921	312	*	2.56	1.41	3.19	-1.78	0.00125	0.0494	SPIN3	ENSG00000204271.6	0
chr14	46279776	46280025	250	*	2.59	1.51	3.2	-1.7	0.00126	0.0496	AL158111.1	ENSG00000264420.1	5320
chr2	7551908	7552147	240	*	2.43	1.11	3.11	-2.01	0.00126	0.0496	AC013460.1	ENSG00000229727.2	9244
